iter	RMSE
0	1.089666273
1	1.035304256
2	0.987123478
3	0.9443053056
4	0.9065852593
5	0.8734432001
6	0.8418125727
7	0.8146914932
8	0.7924679206
9	0.7690483251
10	0.7508560641
11	0.7340439745
12	0.7178363663
13	0.6997898936
14	0.6887863945
15	0.6770762833
16	0.6674707496
17	0.6591718252
18	0.648062207
19	0.6381237762
20	0.62964333
21	0.6240927887
22	0.6197662463
23	0.6141068072
24	0.6087488753
25	0.6026339259
26	0.598778942
27	0.5934450157
28	0.5896986529
29	0.5842760801
30	0.5813820556
31	0.5776916651
32	0.5747658388
33	0.5704239454
34	0.5672913866
35	0.5653237716
36	0.5630493824
37	0.5596778889
38	0.5559070544
39	0.5546500507
40	0.5525549336
41	0.5501962268
42	0.5482222382
43	0.5469768136
44	0.5449489918
45	0.5435647704
46	0.5414413822
47	0.5390029788
48	0.5377801266
49	0.5362869647
50	0.5341358962
51	0.5319671198
52	0.5307114714
53	0.5294397167
54	0.5279673583
55	0.5268475495
56	0.5260068379
57	0.5250802151
58	0.5238733501
59	0.5229733147
60	0.5218008884
61	0.5208295925
62	0.5201064619
63	0.5188083043
64	0.5175888389
65	0.5171057573
66	0.5160962835
67	0.5151538303
68	0.5143470046
69	0.5131945728
70	0.51222392
71	0.5112294111
72	0.5105454557
73	0.509411526
74	0.5087215939
75	0.5080487861
76	0.5067339916
77	0.5060532753
78	0.5048248979
79	0.5039553748
80	0.5025791913
81	0.5018596969
82	0.5005835385
83	0.4997921487
84	0.4992241434
85	0.4984330429
86	0.4975791397
87	0.4969176979
88	0.495663373
89	0.4951419475
90	0.4945314638
91	0.4939722917
92	0.4932116985
93	0.4922784273
94	0.4911637178
95	0.490257548
96	0.4897057646
97	0.4891836318
98	0.4886529874
99	0.4882627303
