iter	Passed	Remaining
0	141	13999
1	144	7078
2	147	4755
3	149	3595
4	152	2895
5	155	2434
6	157	2098
7	160	1851
8	163	1656
9	166	1498
10	169	1369
11	171	1260
12	174	1167
13	177	1089
14	180	1023
15	183	961
16	186	908
17	188	859
18	191	815
19	194	778
20	197	742
21	199	709
22	202	678
23	205	650
24	208	624
25	211	600
26	213	577
27	216	557
28	219	536
29	221	517
30	224	499
31	227	483
32	230	467
33	233	452
34	235	438
35	238	423
36	241	410
37	243	397
38	246	385
39	248	373
40	251	361
41	253	350
42	256	339
43	259	329
44	261	319
45	263	309
46	266	300
47	268	291
48	271	282
49	274	274
50	276	265
51	279	257
52	281	249
53	283	241
54	286	234
55	289	227
56	292	220
57	295	213
58	297	206
59	300	200
60	302	193
61	305	186
62	307	180
63	310	174
64	312	168
65	315	162
66	317	156
67	320	150
68	323	145
69	325	139
70	328	134
71	330	128
72	333	123
73	335	117
74	338	112
75	341	107
76	343	102
77	345	97
78	348	92
79	351	87
80	354	83
81	356	78
82	359	73
83	362	68
84	364	64
85	366	59
86	369	55
87	372	50
88	375	46
89	377	41
90	380	37
91	382	33
92	385	29
93	388	24
94	391	20
95	393	16
96	396	12
97	398	8
98	401	4
99	403	0
